Schedule,SLC,Heading,Description,Section Description
10,10 0626 01,Own Purpose Revenue,Report the Safe Restart Agreement: Municipal Operating Funding on line 0626.,
10,10 0627 01,Own Purpose Revenue,Input Safe Restart Agreement: Public Transit Funding on line 0627.,
10,10 0628 01,Own Purpose Revenue,Report amount for Social Services Relief Fund on line 0628.,
10,10 4047 01,Own Purpose Revenue,Canada Gas Tax used for Capital Investments on SLC 10 4099 01 includes the transportation service items: Short-Line Rail(line 4047) and Short-Sea Shipping(line 4048).,
10,10 4048 01,Own Purpose Revenue,Canada Gas Tax used for Capital Investments on SLC 10 4099 01 includes the transportation service items: Short-Line Rail(line 4047) and Short-Sea Shipping(line 4048).,
10,10 4081 01,Own Purpose Revenue,"Canada Gas Tax used for Capital Investments on SLC 10 4099 01 includes the new items: Broadband Connectivity(line 4081), Tourism Infrastructure(line 4082), Brownfield Redevelopment(line 4083) and Other(line 4084).",
10,10 4082 01,Own Purpose Revenue,"Canada Gas Tax used for Capital Investments on SLC 10 4099 01 includes the new items: Broadband Connectivity(line 4081), Tourism Infrastructure(line 4082), Brownfield Redevelopment(line 4083) and Other(line 4084).",
10,10 4083 01,Own Purpose Revenue,"Canada Gas Tax used for Capital Investments on SLC 10 4099 01 includes the new items: Broadband Connectivity(line 4081), Tourism Infrastructure(line 4082), Brownfield Redevelopment(line 4083) and Other(line 4084).",
10,10 4084 01,Own Purpose Revenue,"Canada Gas Tax used for Capital Investments on SLC 10 4099 01 includes the new items: Broadband Connectivity(line 4081), Tourism Infrastructure(line 4082), Brownfield Redevelopment(line 4083) and Other(line 4084).",
10,10 4205 01,Own Purpose Revenue,Input Federal Gas Tax for Operating expenses: Capacity Building on SLC 10 4205 01.,
10,10 4299 01,Own Purpose Revenue,Canada Gas Tax Recognized in the year on SLC 10 4299 01 is automatically calculated as the sum of (SLC 10 4099 01 + SLC 10 4205 01).,
42,42 6009 01,,Input amounts for Total COVID-19 Expenses as reported on SLC 40 0450 11 on SLC 42 6009 01.,
60,60 1048 01,"Obligatory Reserve Funds, Deferred Revenue",Report Deferred revenue earned (Canada Gas Tax for Operating - Capacity Building) on  SLC 60 1048 01.,
72B,72 1000 xx,Continuity of Taxes Receivable,"Taxes collected on behalf of ""other"" bodies (Mun. Act 353) on line 1000.",The following Municipal and Assessment Act  items are pre-populated on Schedule 72B. This is made available by April 2021. Users that have started will have to backup and restore onto an updated FIR 2020 template re-posted at the FIR website.
72B,72 1010 xx,Continuity of Taxes Receivable,Write-off of taxes (Mun. Act 354) on line 1010.,The following Municipal and Assessment Act  items are pre-populated on Schedule 72B. This is made available by April 2021. Users that have started will have to backup and restore onto an updated FIR 2020 template re-posted at the FIR website.
72B,72 1020 xx,Continuity of Taxes Receivable,"Cancellation, reduction, refund of taxes, overcharges (Mun. Act 357/358) on line 1020.",The following Municipal and Assessment Act  items are pre-populated on Schedule 72B. This is made available by April 2021. Users that have started will have to backup and restore onto an updated FIR 2020 template re-posted at the FIR website.
72B,72 1030 xx,Continuity of Taxes Receivable,"Cancellation, reduction or refund of taxes (Mun. Act 365) on line 1030.",The following Municipal and Assessment Act  items are pre-populated on Schedule 72B. This is made available by April 2021. Users that have started will have to backup and restore onto an updated FIR 2020 template re-posted at the FIR website.
72B,72 1040 xx,Continuity of Taxes Receivable,Canada Gas Tax Recognized in the year on SLC 10 4299 01 is automatically calculated as the sum of (SLC 10 4099 01 + SLC 10 4205 01).,The following Municipal and Assessment Act  items are pre-populated on Schedule 72B. This is made available by April 2021. Users that have started will have to backup and restore onto an updated FIR 2020 template re-posted at the FIR website.
72B,72 1050 xx,Continuity of Taxes Receivable,RfR (Assessment Act 39.1) on line 1050.,The following Municipal and Assessment Act  items are pre-populated on Schedule 72B. This is made available by April 2021. Users that have started will have to backup and restore onto an updated FIR 2020 template re-posted at the FIR website.
72B,72 1060 xx,Continuity of Taxes Receivable,"Increase of taxes, error in calculating taxes (Mun. Act 359/359.1) on line 1060.",The following Municipal and Assessment Act  items are pre-populated on Schedule 72B. This is made available by April 2021. Users that have started will have to backup and restore onto an updated FIR 2020 template re-posted at the FIR website.
72B,72 1070 xx,Continuity of Taxes Receivable,Post Roll Amended Notice (PRAN) (Assessment Act Section 32) on line 1070.,The following Municipal and Assessment Act  items are pre-populated on Schedule 72B. This is made available by April 2021. Users that have started will have to backup and restore onto an updated FIR 2020 template re-posted at the FIR website.
72B,72 1080 xx,Continuity of Taxes Receivable,Special Amended Notice (SAN) (Assessment Act) on line 1080.,The following Municipal and Assessment Act  items are pre-populated on Schedule 72B. This is made available by April 2021. Users that have started will have to backup and restore onto an updated FIR 2020 template re-posted at the FIR website.
72B,72 1090 xx,Continuity of Taxes Receivable,Tax Incentive Adjustment (TIA) (Assessment Act) on line 1090.,The following Municipal and Assessment Act  items are pre-populated on Schedule 72B. This is made available by April 2021. Users that have started will have to backup and restore onto an updated FIR 2020 template re-posted at the FIR website.
72B,72 1099 xx,Continuity of Taxes Receivable,Subtotal on line 1099 sums the line items in 1000 to 1090.,The following Municipal and Assessment Act  items are pre-populated on Schedule 72B. This is made available by April 2021. Users that have started will have to backup and restore onto an updated FIR 2020 template re-posted at the FIR website.
72B,72 2899 xx,Continuity of Taxes Receivable,Tax adjustments before allowances on line 2899 also includes:,The following Municipal and Assessment Act  items are pre-populated on Schedule 72B. This is made available by April 2021. Users that have started will have to backup and restore onto an updated FIR 2020 template re-posted at the FIR website.
72B,72 2301 xx,Continuity of Taxes Receivable,Contaminated Property (Mun. Act  365.1) on line 2301.,The following Municipal and Assessment Act  items are pre-populated on Schedule 72B. This is made available by April 2021. Users that have started will have to backup and restore onto an updated FIR 2020 template re-posted at the FIR website.
72B,72 2400 xx,Continuity of Taxes Receivable,Change in Assessment (Mun. Act 365.3) on line 2400.,The following Municipal and Assessment Act  items are pre-populated on Schedule 72B. This is made available by April 2021. Users that have started will have to backup and restore onto an updated FIR 2020 template re-posted at the FIR website.